"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","2016",1.451201,
"AUS","PPP","TOT","NATUSD","A","2017",1.444458,
"AUS","PPP","TOT","NATUSD","A","2018",1.434276,
"AUT","PPP","TOT","NATUSD","A","2016",0.789364,
"AUT","PPP","TOT","NATUSD","A","2017",0.780367,
"AUT","PPP","TOT","NATUSD","A","2018",0.775798,
"BEL","PPP","TOT","NATUSD","A","2016",0.793648,
"BEL","PPP","TOT","NATUSD","A","2017",0.781355,
"BEL","PPP","TOT","NATUSD","A","2018",0.776795,
"CAN","PPP","TOT","NATUSD","A","2016",1.245164,
"CAN","PPP","TOT","NATUSD","A","2017",1.252006,
"CAN","PPP","TOT","NATUSD","A","2018",1.248531,
"CZE","PPP","TOT","NATUSD","A","2016",12.808315,
"CZE","PPP","TOT","NATUSD","A","2017",12.530576,
"CZE","PPP","TOT","NATUSD","A","2018",12.480582,
"DNK","PPP","TOT","NATUSD","A","2016",7.232726,
"DNK","PPP","TOT","NATUSD","A","2017",6.950601,
"DNK","PPP","TOT","NATUSD","A","2018",6.818195,
"FIN","PPP","TOT","NATUSD","A","2016",0.899145,
"FIN","PPP","TOT","NATUSD","A","2017",0.877078,
"FIN","PPP","TOT","NATUSD","A","2018",0.870256,
"FRA","PPP","TOT","NATUSD","A","2016",0.794704,
"FRA","PPP","TOT","NATUSD","A","2017",0.775574,
"FRA","PPP","TOT","NATUSD","A","2018",0.765686,
"DEU","PPP","TOT","NATUSD","A","2016",0.768617,
"DEU","PPP","TOT","NATUSD","A","2017",0.754169,
"DEU","PPP","TOT","NATUSD","A","2018",0.75157,
"GRC","PPP","TOT","NATUSD","A","2016",0.600497,
"GRC","PPP","TOT","NATUSD","A","2017",0.586328,
"GRC","PPP","TOT","NATUSD","A","2018",0.576377,
"HUN","PPP","TOT","NATUSD","A","2016",134.615415,
"HUN","PPP","TOT","NATUSD","A","2017",136.068883,
"HUN","PPP","TOT","NATUSD","A","2018",139.025638,
"ISL","PPP","TOT","NATUSD","A","2016",141.893267,
"ISL","PPP","TOT","NATUSD","A","2017",137.725092,
"ISL","PPP","TOT","NATUSD","A","2018",137.621163,
"IRL","PPP","TOT","NATUSD","A","2016",0.810133,
"IRL","PPP","TOT","NATUSD","A","2017",0.796521,
"IRL","PPP","TOT","NATUSD","A","2018",0.780478,
"ITA","PPP","TOT","NATUSD","A","2016",0.713846,
"ITA","PPP","TOT","NATUSD","A","2017",0.69628,
"ITA","PPP","TOT","NATUSD","A","2018",0.690916,
"JPN","PPP","TOT","NATUSD","A","2016",102.644578,
"JPN","PPP","TOT","NATUSD","A","2017",102.470366,
"JPN","PPP","TOT","NATUSD","A","2018",100.074597,
"KOR","PPP","TOT","NATUSD","A","2016",862.549513,
"KOR","PPP","TOT","NATUSD","A","2017",866.009087,
"KOR","PPP","TOT","NATUSD","A","2018",852.694385,
"LUX","PPP","TOT","NATUSD","A","2016",0.871545,
"LUX","PPP","TOT","NATUSD","A","2017",0.861496,
"LUX","PPP","TOT","NATUSD","A","2018",0.865601,
"MEX","PPP","TOT","NATUSD","A","2016",8.684357,
"MEX","PPP","TOT","NATUSD","A","2017",9.040807,
"MEX","PPP","TOT","NATUSD","A","2018",9.342497,
"NLD","PPP","TOT","NATUSD","A","2016",0.810165,
"NLD","PPP","TOT","NATUSD","A","2017",0.790553,
"NLD","PPP","TOT","NATUSD","A","2018",0.790576,
"NZL","PPP","TOT","NATUSD","A","2016",1.46973,
"NZL","PPP","TOT","NATUSD","A","2017",1.470805,
"NZL","PPP","TOT","NATUSD","A","2018",1.45439,
"NOR","PPP","TOT","NATUSD","A","2016",10.249825,
"NOR","PPP","TOT","NATUSD","A","2017",10.070307,
"NOR","PPP","TOT","NATUSD","A","2018",10.434994,
"POL","PPP","TOT","NATUSD","A","2016",1.767247,
"POL","PPP","TOT","NATUSD","A","2017",1.750195,
"POL","PPP","TOT","NATUSD","A","2018",1.721663,
"PRT","PPP","TOT","NATUSD","A","2016",0.581801,
"PRT","PPP","TOT","NATUSD","A","2017",0.580383,
"PRT","PPP","TOT","NATUSD","A","2018",0.575624,
"SVK","PPP","TOT","NATUSD","A","2016",0.484094,
"SVK","PPP","TOT","NATUSD","A","2017",0.481903,
"SVK","PPP","TOT","NATUSD","A","2018",0.482383,
"ESP","PPP","TOT","NATUSD","A","2016",0.655507,
"ESP","PPP","TOT","NATUSD","A","2017",0.64123,
"ESP","PPP","TOT","NATUSD","A","2018",0.632962,
"SWE","PPP","TOT","NATUSD","A","2016",9.003919,
